"","Id","Name","Year","Gender","Count"
"864457",864457,"June",1980,"F",233
"865278",865278,"Sophie",1980,"F",77
"878629",878629,"Catherine",1980,"M",17
"880322",880322,"Rose",1980,"M",9
"881781",881781,"June",1980,"M",6
"883250",883250,"Catherine",1981,"F",4053
"883408",883408,"Rose",1981,"F",1096
"883910",883910,"June",1981,"F",226
"884806",884806,"Sophie",1981,"F",72
"898408",898408,"Catherine",1981,"M",14
"899353",899353,"June",1981,"M",10
"902431",902431,"Rose",1981,"M",5
"902716",902716,"Catherine",1982,"F",4096
"902876",902876,"Rose",1982,"F",1096
"903412",903412,"June",1982,"F",214
"904005",904005,"Sophie",1982,"F",91
"918544",918544,"June",1982,"M",12
"919613",919613,"Catherine",1982,"M",8
"919875",919875,"Rose",1982,"M",8
"922388",922388,"Catherine",1983,"F",4250
"922555",922555,"Rose",1983,"F",1061
"923167",923167,"June",1983,"F",181
"923369",923369,"Sophie",1983,"F",133
"937069",937069,"Catherine",1983,"M",17
"937904",937904,"June",1983,"M",12
"941496",941496,"Rose",1983,"M",5
"941787",941787,"Catherine",1984,"F",4237
"941956",941956,"Rose",1984,"F",1056
"942659",942659,"Sophie",1984,"F",156
"942664",942664,"June",1984,"F",155
"956428",956428,"Catherine",1984,"M",19
"958266",958266,"June",1984,"M",9
"959347",959347,"Rose",1984,"M",7
"961282",961282,"Catherine",1985,"F",4288
"961477",961477,"Rose",1985,"F",965
"962020",962020,"Sophie",1985,"F",206
"962111",962111,"June",1985,"F",178
"977332",977332,"Catherine",1985,"M",12
"977704",977704,"Rose",1985,"M",11
"978217",978217,"June",1985,"M",9
"981359",981359,"Catherine",1986,"F",4238
"981590",981590,"Rose",1986,"F",822
"982085",982085,"Sophie",1986,"F",212
"982284",982284,"June",1986,"F",158
"996405",996405,"Catherine",1986,"M",24
"998180",998180,"Rose",1986,"M",11
"998761",998761,"June",1986,"M",9
"1002006",1002006,"Catherine",1987,"F",4104
"1002223",1002223,"Rose",1987,"F",836
"1002696",1002696,"Sophie",1987,"F",236
"1002958",1002958,"June",1987,"F",151
"1017523",1017523,"Catherine",1987,"M",24
"1018607",1018607,"June",1987,"M",14
"1023396",1023396,"Catherine",1988,"F",4505
"1023613",1023613,"Rose",1988,"F",866
"1024083",1024083,"Sophie",1988,"F",248
"1024568",1024568,"June",1988,"F",120
"1040423",1040423,"Catherine",1988,"M",16
"1040809",1040809,"June",1988,"M",14
"1042334",1042334,"Rose",1988,"M",9
"1045752",1045752,"Catherine",1989,"F",4557
"1045979",1045979,"Rose",1989,"F",893
"1046317",1046317,"Sophie",1989,"F",334
"1046923",1046923,"June",1989,"F",129
"1061966",1061966,"Catherine",1989,"M",44
"1064384",1064384,"June",1989,"M",13
"1064705",1064705,"Rose",1989,"M",12
"1067058",1067058,"Sophie",1989,"M",7
"1069523",1069523,"Catherine",1990,"F",4892
"1069759",1069759,"Rose",1990,"F",901
"1070058",1070058,"Sophie",1990,"F",373
"1070987",1070987,"June",1990,"F",100
"1087470",1087470,"Catherine",1990,"M",23
"1088373",1088373,"June",1990,"M",16
"1094237",1094237,"Catherine",1991,"F",4815
"1094474",1094474,"Rose",1991,"F",883
"1094724",1094724,"Sophie",1991,"F",419
"1095610",1095610,"June",1991,"F",110
"1112892",1112892,"June",1991,"M",19
"1115053",1115053,"Rose",1991,"M",10
"1115650",1115650,"Catherine",1991,"M",8
"1119347",1119347,"Catherine",1992,"F",4533
"1119587",1119587,"Rose",1992,"F",858
"1119752",1119752,"Sophie",1992,"F",511
"1120779",1120779,"June",1992,"F",104
"1138711",1138711,"June",1992,"M",16
"1140157",1140157,"Catherine",1992,"M",10
"1144406",1144406,"Rose",1992,"M",5
"1144760",1144760,"Catherine",1993,"F",4473
"1145028",1145028,"Rose",1993,"F",744
"1145139",1145139,"Sophie",1993,"F",551
"1146252",1146252,"June",1993,"F",99
"1164830",1164830,"June",1993,"M",14
"1170364",1170364,"Rose",1993,"M",5
"1170726",1170726,"Catherine",1994,"F",4102
"1170981",1170981,"Rose",1994,"F",789
"1171057",1171057,"Sophie",1994,"F",601
"1172061",1172061,"June",1994,"F",113
"1190806",1190806,"June",1994,"M",14
"1196729",1196729,"Catherine",1995,"F",3857
"1196976",1196976,"Rose",1995,"F",787
"1197019",1197019,"Sophie",1995,"F",694
"1198315",1198315,"June",1995,"F",88
"1217562",1217562,"Catherine",1995,"M",11
"1220706",1220706,"June",1995,"M",6
"1222814",1222814,"Catherine",1996,"F",3736
"1223049",1223049,"Sophie",1996,"F",854
"1223097",1223097,"Rose",1996,"F",701
"1224504",1224504,"June",1996,"F",83
"1242890",1242890,"June",1996,"M",15
"1243837",1243837,"Catherine",1996,"M",11
"1249234",1249234,"Catherine",1997,"F",3593
"1249405",1249405,"Sophie",1997,"F",1081
"1249530",1249530,"Rose",1997,"F",666
"1250827",1250827,"June",1997,"F",93
"1270760",1270760,"June",1997,"M",11
"1271989",1271989,"Catherine",1997,"M",8
"1276204",1276204,"Catherine",1998,"F",3347
"1276358",1276358,"Sophie",1998,"F",1216
"1276400",1276400,"Rose",1998,"F",1018
"1277869",1277869,"June",1998,"F",89
"1300700",1300700,"June",1998,"M",7
"1304092",1304092,"Catherine",1999,"F",3398
"1304178",1304178,"Sophie",1999,"F",1685
"1304272",1304272,"Rose",1999,"F",1132
"1305831",1305831,"June",1999,"F",87
"1327549",1327549,"Catherine",1999,"M",9
"1330207",1330207,"June",1999,"M",6
"1332619",1332619,"Catherine",2000,"F",3800
"1332698",1332698,"Sophie",2000,"F",2102
"1332837",1332837,"Rose",2000,"F",1079
"1334102",1334102,"June",2000,"F",114
"1354667",1354667,"June",2000,"M",17
"1362382",1362382,"Catherine",2001,"F",3727
"1362452",1362452,"Sophie",2001,"F",2172
"1362609",1362609,"Rose",2001,"F",1029
"1364139",1364139,"June",2001,"F",96
"1390154",1390154,"June",2001,"M",6
"1392663",1392663,"Catherine",2002,"F",3288
"1392711",1392711,"Sophie",2002,"F",2245
"1392891",1392891,"Rose",2002,"F",922
"1394277",1394277,"June",2002,"F",107
"1417244",1417244,"Catherine",2002,"M",10
"1420653",1420653,"June",2002,"M",6
"1423228",1423228,"Catherine",2003,"F",3230
"1423273",1423273,"Sophie",2003,"F",2231
"1423483",1423483,"Rose",2003,"F",849
"1425097",1425097,"June",2003,"F",92
"1448521",1448521,"June",2003,"M",10
"1454398",1454398,"Catherine",2004,"F",3180
"1454430",1454430,"Sophie",2004,"F",2386
"1454650",1454650,"Rose",2004,"F",890
"1456023",1456023,"June",2004,"F",112
"1479698",1479698,"Catherine",2004,"M",11
"1480365",1480365,"June",2004,"M",10
"1482897",1482897,"Sophie",2004,"M",7
"1486439",1486439,"Catherine",2005,"F",2982
"1486466",1486466,"Sophie",2005,"F",2439
"1486661",1486661,"Rose",2005,"F",964
"1488052",1488052,"June",2005,"F",115
"1512888",1512888,"June",2005,"M",10
"1513913",1513913,"Catherine",2005,"M",8
"1518984",1518984,"Catherine",2006,"F",2788
"1518987",1518987,"Sophie",2006,"F",2783
"1519207",1519207,"Rose",2006,"F",956
"1520074",1520074,"June",2006,"F",199
"1548025",1548025,"June",2006,"M",8
"1553014",1553014,"Sophie",2007,"F",3985
"1553074",1553074,"Catherine",2007,"F",2468
"1553280",1553280,"Rose",2007,"F",938
"1554029",1554029,"June",2007,"F",237
"1580811",1580811,"June",2007,"M",11
"1582291",1582291,"Sophie",2007,"M",9
"1586136",1586136,"Catherine",2007,"M",5
"1587938",1587938,"Sophie",2008,"F",4061
"1588011",1588011,"Catherine",2008,"F",2318
"1588205",1588205,"Rose",2008,"F",968
"1588733",1588733,"June",2008,"F",320
"1614882",1614882,"June",2008,"M",13
"1622973",1622973,"Sophie",2009,"F",4262
"1623084",1623084,"Catherine",2009,"F",1888
"1623258",1623258,"Rose",2009,"F",933
"1623571",1623571,"June",2009,"F",440
"1649325",1649325,"June",2009,"M",14
"1657651",1657651,"Sophie",2010,"F",4413
"1657785",1657785,"Catherine",2010,"F",1610
"1657928",1657928,"Rose",2010,"F",955
"1658185",1658185,"June",2010,"F",495
"1686594",1686594,"June",2010,"M",8
"1689365",1689365,"Sophie",2010,"M",6
"1691684",1691684,"Sophie",2011,"F",4722
"1691794",1691794,"Catherine",2011,"F",1934
"1691923",1691923,"Rose",2011,"F",1093
"1692103",1692103,"June",2011,"F",630
"1716979",1716979,"June",2011,"M",15
"1719822",1719822,"Sophie",2011,"M",9
"1725554",1725554,"Sophie",2012,"F",4566
"1725667",1725667,"Catherine",2012,"F",1901
"1725760",1725760,"Rose",2012,"F",1243
"1725937",1725937,"June",2012,"F",715
"1751772",1751772,"June",2012,"M",12
"1758870",1758870,"Sophie",2012,"M",5
"1759262",1759262,"Sophie",2013,"F",3733
"1759356",1759356,"Catherine",2013,"F",1858
"1759411",1759411,"Rose",2013,"F",1419
"1759550",1759550,"June",2013,"F",864
"1785637",1785637,"June",2013,"M",11
"1792480",1792480,"Sophie",2014,"F",3364
"1792559",1792559,"Catherine",2014,"F",1923
"1792583",1792583,"Rose",2014,"F",1678
"1792706",1792706,"June",2014,"F",1039
"1818691",1818691,"June",2014,"M",11
